stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Jl. Harmoni Raya-Simpang Cibeureum,,Jl. Harmoni Raya-Simpang Cibeureum,,-6.640460000,106.784720000,,,,,,2
Jl. H. Sanusi,,Jl. H. Sanusi,,-6.637120000,106.785250000,,,,,,2
Jl. H. Mubarok,,Jl. H. Mubarok,,-6.634490000,106.786250000,,,,,,2	
Tamansari Residence,,Tamansari Residence,,-6.630220000,106.788860000,,,,,,2
Perumahan Mulyaharja 1,,Perumahan Mulyaharja 1,,-6.626450000,106.791420000,,,,,,2
Nasi Goreng Telkom,,Nasi Goreng Telkom,,-6.624360000,106.793400000,,,,,,2
SDN Cikaret 1,,SDN Cikaret 1,,-6.619430000,106.794640000,,,,,,2
Masjid,,Masjid,,-6.616850000,106.793780000,,,,,,2
Asrama STPP,,Asrama STPP,,-6.608960000,106.792220000,,,,,,2
GOR Padjajaran Bogor,,GOR Padjajaran Bogor,,-6.578120000,106.798660000,,,,,,2
Tier Siera,,Tier Siera,,-6.575980000,106.800220000,,,,,,2
Jl. Merak,,Jl. Merak,,-6.573220000,106.802310000,,,,,,2
Hutan Kota Ahmad Yani,,Hutan Kota Ahmad Yani,,-6.570680000,106.804210000,,,,,,2
NN,, NN,,-6.562000000,106.800330000,,,,,,2
Bogor Square,,Bogor Square,,-6.558830000,106.784840000,,,,,,2
Masjid Tanah Sareal,,Masjid Tanah Sareal,,-6.557640000,106.788250000,,,,,,2
SDN Situ Pete,,SDN Situ Pete,,-6.555270000,106.788270000,,,,,,2
TKQ/TKA Miftahul Falah,,TKQ/TKA Miftahul Falah,,-6.552680000,106.788110000,,,,,,2
Masjid Jami Baiturrohmah,,Masjid Jami Baiturrohmah,,-6.547810000,106.786870000,,,,,,2
Polsek Tanah Sareal Bogor,,Polsek Tanah Sareal Bogor,,-6.542740000,106.783880000,,,,,,2	
Jl. Pabuaran Cimanggis,,Jl. Pabuaran Cimanggis,,-6.538380000,106.782520000,,,,,,2
Bumi Citra Kencana,,Bumi Citra Kencana,,-6.530790000,106.788360000,,,,,,2
Kencana Green Residence,,Kencana Green Residence,,-6.526840000,106.788580000,,,,,,2
Masjid Jami Al-Ikhlas,,Masjid Jami Al-Ikhlas,,-6.522600000,106.789380000,,,,,,2
Masjid Jami Ar-Royan,,Masjid Jami Ar-Royan,,-6.518530000,106.788180000,,,,,,2
Taman Griya Kencana,,Taman Griya Kencana,,-6.515580000,106.787030000,,,,,,2
The 1O1 Bogor Suryakancana,,The 1O1 Bogor Suryakancana,,-6.6075922,106.8024492,,,,,,2
Suryakencana,,Suryakencana,,-6.604740000,106.799710000,,,,,,2
Nike Factory Store,,Nike Factory Store,,-6.611060000,106.811980000,,,,,,2
Kesatuan,,Kesatuan,,-6.614140000,106.813720000,,,,,,2
Villa Duta Pharmacies,,Villa Duta Pharmacies,,-6.612130600,106.814076600,,,,,,2
TiluKopi,,TiluKopi,,-6.612193600,106.815387200,,,,,,2
SDN DUTA PAKUAN,,SDN DUTA PAKUAN,,-6.613274000,106.818072500,,,,,,2
ATM CIMB NIAGA (Indomaret Lingkar Bogor Utara (TMGR),,ATM CIMB NIAGA (Indomaret Lingkar Bogor Utara (TMGR)),,-6.612999000,106.820137000,,,,,,2
Cimanggu Permai,,Cimanggu Permai,,-6.564190000,106.789800000,,,,,,2
Permata Cimanggu,,Permata Cimanggu,,-6.567240000,106.789550000,,,,,,2
Bharata Pura,,Bharata Pura,,-6.568360000,106.792640000,,,,,,2
Jl. Asisor,,Jl. Asisor,,-6.569450000,106.790720000,,,,,,2
Jl. Cimanggu,,Jl. Cimanggu,,-6.570210000,106.788080000,,,,,,2
Kedai Traveler,,Kedai Traveler,,-6.573660000,106.787980000,,,,,,2
Balai Besar Litbang SDLP,,Balai Besar Litbang SDLP,,-6.576060000,106.787950000,,,,,,2
Bank BJB - Stasiun Bogor,,Bank BJB - Stasiun Bogor,,-6.595970000,106.791610000,,,,,,2
Bank BRI Bogor,,Bank BRI Bogor,,-6.594940000,106.791830000,,,,,,2
Pasar Anyar,,Pasar Anyar,,-6.591010000,106.792880000,,,,,,2
arung Nasi Uduk Mang Apong,,arung Nasi Uduk Mang Apong,,-6.556020700,106.768335300,,,,,,2
Jl. Akasia Raya,,Jl. Akasia Raya,,-6.568230000,106.781200000,,,,,,2
